Alpha	Beta	Delta	Sigma	Theta	Artef	R	REM
2	3	5	7	0	0	0	1
0	2	3	10	0	0	2	0
0	5	3	9	0	0	0	0
0	5	1	14	0	0	0	1
0	7	2	5	0	0	1	0
0	12	8	15	0	0	0	0
0	8	5	11	0	0	1	1
0	3	2	5	0	0	3	0
0	9	4	6	0	0	2	0
0	8	1	19	0	0	0	1
0	4	4	10	0	0	2	1
0	10	3	12	0	0	3	0
0	9	4	9	0	0	2	0
0	11	2	8	0	0	3	0
0	16	1	2	0	0	0	0
0	15	2	1	0	0	1	0
0	14	1	6	0	0	1	1
0	24	3	4	0	0	0	1
0	26	1	10	0	0	0	0
0	27	0	9	8	0	2	1
0	8	0	2	11	0	0	0
0	6	5	8	0	0	1	0
0	12	2	0	0	0	0	0
0	6	1	15	0	1	0	0
0	6	1	10	0	0	2	0
0	9	4	4	0	0	0	0
0	4	4	11	0	0	2	1
0	11	4	2	0	0	1	1
0	5	3	18	0	0	0	1
0	7	4	6	0	0	1	0
0	3	3	8	0	0	0	0
0	8	3	8	0	0	1	0
0	14	2	10	0	0	3	1
0	4	2	0	0	0	1	0
1	4	3	5	0	0	0	0
0	6	4	15	0	0	0	1
0	2	3	2	0	0	0	0
0	4	3	18	0	0	1	0
0	5	7	3	0	0	1	0
0	8	5	16	0	0	0	1
4	1	0	0	13	0	0	0
1	7	3	19	0	0	1	0
2	4	1	1	0	0	0	0
2	3	0	18	0	0	0	0
2	3	0	12	11	0	0	0
1	1	0	15	0	0	1	0
1	0	0	11	0	0	0	0
1	0	0	19	0	0	1	0
2	1	0	17	0	0	0	0
1	0	0	13	0	0	0	0
3	0	0	14	0	0	0	0
2	1	0	7	0	0	1	0
4	0	0	2	0	2	0	0
4	4	0	4	2	0	0	0
6	0	0	5	0	0	0	0
8	0	0	8	0	1	0	0
7	0	0	12	0	0	0	0
7	0	0	7	0	0	0	0
6	0	0	7	0	0	0	0
3	0	0	8	0	0	0	0
3	1	0	4	5	1	0	0
7	0	0	2	0	1	0	0
6	1	0	4	0	0	0	0
3	1	0	11	0	0	0	0
2	1	0	0	0	0	0	0
6	1	0	7	0	0	0	0
3	1	0	4	0	0	0	0
5	2	0	2	7	0	0	0
2	0	0	9	0	0	0	0
8	1	0	0	0	0	0	0
4	1	0	12	0	0	0	0
4	2	0	10	0	0	0	0
3	1	0	4	0	0	0	0
2	1	0	7	0	0	0	0
4	0	0	0	0	1	0	0
9	2	0	2	9	1	0	0
6	0	0	7	0	0	0	0
9	1	1	15	0	0	0	0
5	1	1	14	0	0	0	0
2	2	2	12	0	0	0	0
2	3	3	26	8	0	0	0
9	1	0	0	5	1	0	0
0	1	6	9	0	0	1	0
0	0	3	12	0	0	0	0
1	0	2	8	0	0	0	0
